Statistics for subject 0002;;;;;;;;
;;;;;;;;
EEG values by electrodes;mean[µV];sd[µV];dev-[µV];dev+[µV];;;;
C3: ;39.7160;61.4169;-403.6656;495.1973;;;;
C4: ;39.5195;69.3741;-386.5032;525.4951;;;;
CZ: ;39.8767;149.5552;-1035.7723;1011.8786;;;;
F3: ;39.7984;79.1449;-440.9893;549.0116;;;;
F4: ;39.7018;51.3133;-479.7646;553.2354;;;;
F7: ;39.7129;76.7428;-673.6624;948.1720;;;;
F8: ;39.7612;90.7656;-568.7663;904.2338;;;;
FP1: ;39.7198;78.1191;-785.8828;819.1170;;;;
FP2: ;39.5199;64.1406;-963.4707;1240.5292;;;;
FPZ: ;39.8420;116.3203;-627.9652;827.2174;;;;
FZ: ;39.7136;68.0152;-432.6637;483.4079;;;;
O1: ;39.8065;58.0835;-321.8009;442.1962;;;;
O2: ;39.4394;42.8016;-474.4492;424.6075;;;;
OZ: ;39.5701;50.6268;-514.6650;810.3057;;;;
P3: ;39.5696;73.9943;-558.7032;971.2967;;;;
P4: ;39.7127;108.5909;-589.8617;895.1492;;;;
PZ: ;39.7770;60.8023;-472.9595;581.0340;;;;
T3: ;39.6851;57.5984;-816.6718;1150.3096;;;;
T4: ;39.8529;99.7679;-585.9397;637.0677;;;;
T5: ;39.9360;90.2870;-704.8934;810.1228;;;;
T6: ;39.5333;87.4417;-515.7109;909.3370;;;;
Mean electrode values: ;39.7031;77.8525;-588.3220;761.3772;;;;
EEG statistics for Video1;;;;;;;;
EEG;0.0596;20.5631;-73.9355;95.0677;;;;
EEG delta;11.5476;8.9015;-13.0657;46.5420;;;;
EEG theta;6.8016;5.2576;-7.4391;22.7333;;;;
EEG alpha;4.3058;3.3712;-5.0293;18.4042;;;;
EEG beta 1;2.5496;2.0364;-2.5888;10.3615;;;;
EEG beta 2;2.6376;1.9962;-2.8108;11.1318;;;;
TEI;0.3678;0.6870;-0.3795;38.6874;;;;
EEG statistics for Video2;;;;;;;;
EEG;-0.0133;17.0719;-71.3158;77.0640;;;;
EEG delta;9.4241;7.4185;-9.7506;33.7889;;;;
EEG theta;5.2319;4.0069;-5.6242;18.0649;;;;
EEG alpha;3.8350;2.9684;-3.8879;16.1826;;;;
EEG beta 1;2.5079;1.9248;-2.7072;10.7705;;;;
EEG beta 2;2.4865;1.8846;-2.7020;11.2667;;;;
TEI;0.4385;0.9136;-0.4700;66.2577;;;;
EEG statistics for Video3;;;;;;;;
EEG;-0.0118;16.0834;-51.9192;68.6052;;;;
EEG delta;9.4139;7.0911;-9.8636;25.2779;;;;
EEG theta;4.8196;3.6116;-5.0904;14.6999;;;;
EEG alpha;3.4415;2.5644;-3.5465;13.4900;;;;
EEG beta 1;2.2866;1.7170;-2.3376;7.6395;;;;
EEG beta 2;2.2867;1.6973;-2.4448;8.5486;;;;
TEI;0.4494;0.8148;-0.4851;34.4913;;;;
EEG statistics for Video4;;;;;;;;
EEG;-0.0026;16.6036;-69.9559;90.5577;;;;
EEG delta;9.3527;7.7540;-9.4625;40.2740;;;;
EEG theta;4.9470;3.7850;-4.9536;18.8019;;;;
EEG alpha;3.3154;2.6325;-3.3492;16.2093;;;;
EEG beta 1;2.3763;1.8186;-2.4218;10.1229;;;;
EEG beta 2;2.4745;1.8853;-2.7668;11.8617;;;;
TEI;0.4702;1.0765;-0.4924;86.8746;;;;
EEG statistics for Video5;;;;;;;;
EEG;0.0211;16.5842;-62.4228;69.6488;;;;
EEG delta;8.8416;6.6722;-8.9531;26.1830;;;;
EEG theta;5.6877;4.3262;-6.2297;17.5574;;;;
EEG alpha;3.5846;2.7591;-3.6165;13.8207;;;;
EEG beta 1;2.5022;1.9157;-2.5756;12.1416;;;;
EEG beta 2;2.6287;1.9732;-2.6921;10.5800;;;;
TEI;0.4471;0.8804;-0.5369;28.4418;;;;
EEG statistics for Video6;;;;;;;;
EEG;-0.0121;16.6528;-80.0822;76.0347;;;;
EEG delta;9.6456;7.7066;-10.8643;54.2279;;;;
EEG theta;4.7486;3.5645;-4.9411;15.4220;;;;
EEG alpha;3.1352;2.5759;-3.1405;13.3054;;;;
EEG beta 1;2.3399;1.7184;-2.3658;8.5621;;;;
EEG beta 2;2.5128;1.9274;-2.5737;9.6900;;;;
TEI;0.5129;1.5201;-0.5373;144.9398;;;;
EDA statistics;;;;;;;;
;mean[µS];sd[µS];dev-[µS];dev+[µS];;;;
EDA complete;1.2531;0.0128;-0.0186;0.0612;;;;
EDA Video 1;1.3755;0.0044;-0.0053;0.0146;;;;
EDA Video 2;1.3098;0.0017;-0.0041;0.0051;;;;
EDA Video 4;1.2194;0.0015;-0.0034;0.0051;;;;
EDA Video 5;1.1843;0.0009;-0.0027;0.0021;;;;
Delta_t of Video 2 based on interval 1;2.4;;;;;;;
;;;;;;;;
